model,dataset,severity,error_count,avg_confidence,avg_comet
GEMINI,arabia_saudita_guvern_gemini_error_analysis_output.json,critical,44,0.47841020063920453,0.3186691762371497
GEMINI,arabia_saudita_guvern_gemini_error_analysis_output.json,major,123,0.3811233644563008,0.6401507791464891
GEMINI,arabia_saudita_guvern_gemini_error_analysis_output.json,minor,140,0.38747384207589286,0.8868860734360559
GEMINI,arabia_saudita_guvern_gemini_error_analysis_output.json,,0,,0.8960276370698755
GEMINI,conventia_geneva_gemini_error_analysis_output.json,critical,74,0.44025483002533783,0.2730112172461845
GEMINI,conventia_geneva_gemini_error_analysis_output.json,major,100,0.3831787109375,0.6963984745740891
GEMINI,conventia_geneva_gemini_error_analysis_output.json,minor,156,0.3884433844150641,0.9053102292311497
GEMINI,conventia_geneva_gemini_error_analysis_output.json,,0,,0.9455916343787529
GEMINI,drepturile_copiluluigemini_error_analysis_output.json,major,24,0.400604248046875,0.7663978810111681
GEMINI,drepturile_copiluluigemini_error_analysis_output.json,minor,98,0.386539381377551,0.9201755037113112
GEMINI,drepturile_copiluluigemini_error_analysis_output.json,,0,,0.9782640215468733
GEMINI,drepturile_economice_culturalegemini_error_analysis_output.json,major,19,0.3914859169407895,0.7918756510082045
GEMINI,drepturile_economice_culturalegemini_error_analysis_output.json,minor,58,0.3924350080818966,0.9204736064220297
GEMINI,drepturile_economice_culturalegemini_error_analysis_output.json,,0,,0.9744520047131706
GEMINI,drepturile_omului_gemini_error_analysis_output.json,major,1,0.412353515625,0.9308828115463257
GEMINI,drepturile_omului_gemini_error_analysis_output.json,minor,15,0.3912434895833333,0.9398001511891683
GEMINI,drepturile_omului_gemini_error_analysis_output.json,,0,,0.989771880965302
GEMINI,flores+gemini_error_analysis_output.json,critical,11,0.5142933238636364,0.46349022605202417
GEMINI,flores+gemini_error_analysis_output.json,major,464,0.41200519430226296,0.6918787220171814
GEMINI,flores+gemini_error_analysis_output.json,minor,723,0.39312043460408025,0.899562090099435
GEMINI,flores+gemini_error_analysis_output.json,,0,,0.9821563579697103
GEMINI,from_training_dataset_gemini_error_analysis_output.json,critical,51,0.38516295189950983,0.4971839621955273
GEMINI,from_training_dataset_gemini_error_analysis_output.json,major,1094,0.41691274137340034,0.7217600857753859
GEMINI,from_training_dataset_gemini_error_analysis_output.json,minor,1221,0.39328995188370186,0.919284560610094
GEMINI,from_training_dataset_gemini_error_analysis_output.json,,0,,0.9792104314022426
GEMINI,ksaembassyrougemini_error_analysis_output.json,critical,304,0.4442620528371711,0.30435117559605523
GEMINI,ksaembassyrougemini_error_analysis_output.json,major,78,0.33093887720352566,0.48541703782020473
GEMINI,ksaembassyrougemini_error_analysis_output.json,minor,33,0.3243075284090909,0.6809093003923242
GEMINI,ksaembassyrougemini_error_analysis_output.json,,0,,0.4567126601934433
GEMINI,statutul_refugiatilor_gemini_error_analysis_output.json,critical,22,0.3791725852272727,0.28968383778225293
GEMINI,statutul_refugiatilor_gemini_error_analysis_output.json,major,43,0.3958427961482558,0.6756628308185312
GEMINI,statutul_refugiatilor_gemini_error_analysis_output.json,minor,106,0.3921082694575472,0.925016572452941
GEMINI,statutul_refugiatilor_gemini_error_analysis_output.json,,0,,0.9482151392433379
GPT4,arabia_saudita_guvern_gpt4_error_analysis_output.json,critical,45,0.431982421875,0.30574795934889054
GPT4,arabia_saudita_guvern_gpt4_error_analysis_output.json,major,155,0.3872432585685484,0.6519444027254658
GPT4,arabia_saudita_guvern_gpt4_error_analysis_output.json,minor,141,0.3862997285017731,0.8631418068358239
GPT4,arabia_saudita_guvern_gpt4_error_analysis_output.json,,0,,0.9006958377938117
GPT4,conventia_geneva_gpt4_error_analysis_output.json,critical,85,0.4668399586397059,0.22936241346247055
GPT4,conventia_geneva_gpt4_error_analysis_output.json,major,100,0.40024169921875,0.7147994703054428
GPT4,conventia_geneva_gpt4_error_analysis_output.json,minor,206,0.3982490613622573,0.9074569011776192
GPT4,conventia_geneva_gpt4_error_analysis_output.json,,0,,0.9437048868507358
GPT4,drepturile_copiluluigpt4_error_analysis_output.json,critical,1,0.33740234375,0.7291679382324219
GPT4,drepturile_copiluluigpt4_error_analysis_output.json,major,26,0.39969576322115385,0.786939439865259
GPT4,drepturile_copiluluigpt4_error_analysis_output.json,minor,102,0.39310470281862747,0.9297647441134733
GPT4,drepturile_copiluluigpt4_error_analysis_output.json,,0,,0.9807492417397259
GPT4,drepturile_economice_culturalegpt4_error_analysis_output.json,major,14,0.39463588169642855,0.7899347543716431
GPT4,drepturile_economice_culturalegpt4_error_analysis_output.json,minor,43,0.39501953125,0.9206386527349782
GPT4,drepturile_economice_culturalegpt4_error_analysis_output.json,,0,,0.9801508532630072
GPT4,drepturile_omului_gpt4_error_analysis_output.json,major,2,0.3980712890625,0.8663749694824219
GPT4,drepturile_omului_gpt4_error_analysis_output.json,minor,18,0.384521484375,0.9429623219701979
GPT4,drepturile_omului_gpt4_error_analysis_output.json,,0,,0.9919050766871526
GPT4,flores+gpt4_error_analysis_output.json,critical,9,0.4408908420138889,0.6071393125587039
GPT4,flores+gpt4_error_analysis_output.json,major,447,0.4136725304110738,0.6929882724813167
GPT4,flores+gpt4_error_analysis_output.json,minor,784,0.39406414421237246,0.8995505072632615
GPT4,flores+gpt4_error_analysis_output.json,,0,,0.9835171665943844
GPT4,from_training_dataset_gpt4_error_analysis_output.json,critical,53,0.4046101120283019,0.46699476129603834
GPT4,from_training_dataset_gpt4_error_analysis_output.json,major,971,0.419842422438208,0.7266776542093923
GPT4,from_training_dataset_gpt4_error_analysis_output.json,minor,1411,0.3952339112885365,0.9190445809732677
GPT4,from_training_dataset_gpt4_error_analysis_output.json,,0,,0.9829365270532621
GPT4,ksaembassyrougpt4_error_analysis_output.json,critical,265,0.4462724793632076,0.29332531690597535
GPT4,ksaembassyrougpt4_error_analysis_output.json,major,129,0.34649232376453487,0.448364467121834
GPT4,ksaembassyrougpt4_error_analysis_output.json,minor,17,0.325927734375,0.6007411760442397
GPT4,ksaembassyrougpt4_error_analysis_output.json,,0,,0.4315964064814828
GPT4,statutul_refugiatilor_gpt4_error_analysis_output.json,critical,56,0.39378574916294645,0.21797112162624085
GPT4,statutul_refugiatilor_gpt4_error_analysis_output.json,major,46,0.39279572860054346,0.753095392299735
GPT4,statutul_refugiatilor_gpt4_error_analysis_output.json,minor,107,0.39941634418808414,0.9281775165941114
GPT4,statutul_refugiatilor_gpt4_error_analysis_output.json,,0,,0.9521151620608109
JAIS,arabia_saudita_guvern,critical,101,0.44727287670173266,0.2787336981532597
JAIS,arabia_saudita_guvern,major,321,0.3904158452589564,0.5541577844233527
JAIS,arabia_saudita_guvern,minor,81,0.38739390432098764,0.8772240141291677
JAIS,arabia_saudita_guvern,,0,,0.7105540666315291
JAIS,conventia_geneva,critical,210,0.46685384114583334,0.2650267420780091
JAIS,conventia_geneva,major,364,0.39128431383070056,0.5527720841077658
JAIS,conventia_geneva,minor,183,0.40023987149931695,0.9088937731388488
JAIS,conventia_geneva,,0,,0.6050017928438527
JAIS,drepturile_copilului,critical,89,0.49955012289325845,0.29326378897334754
JAIS,drepturile_copilului,major,250,0.402037109375,0.6230419905185699
JAIS,drepturile_copilului,minor,123,0.3898608199949187,0.9089898563982025
JAIS,drepturile_copilului,,0,,0.8313970092015389
JAIS,drepturile_economice_culturale,critical,68,0.4975980870863971,0.26279201051768136
JAIS,drepturile_economice_culturale,major,124,0.39988856161794356,0.6268567683235291
JAIS,drepturile_economice_culturale,minor,50,0.39427734375,0.9175691342353821
JAIS,drepturile_economice_culturale,,0,,0.7292246953133614
JAIS,drepturile_omului,critical,6,0.5126139322916666,0.6116479287544886
JAIS,drepturile_omului,major,70,0.41500418526785715,0.7682889597756523
JAIS,drepturile_omului,minor,11,0.39204545454545453,0.914026834748008
JAIS,drepturile_omului,,0,,0.8615450726615058
JAIS,flores+,critical,207,0.5249330087560387,0.4024861110869237
JAIS,flores+,major,1156,0.4178092982942258,0.6260963652063819
JAIS,flores+,minor,656,0.39315647032202744,0.8859633251842929
JAIS,flores+,,0,,0.9357390916460498
JAIS,from_training_dataset,,0,,0.5305803862072173
JAIS,ksaembassyrou,critical,250,0.473890625,0.19418125486373902
JAIS,ksaembassyrou,major,24,0.3584696451822917,0.3940713678797086
JAIS,ksaembassyrou,,0,,0.2922310796048906
JAIS,statutul_refugiatilor,critical,92,0.44511612601902173,0.2934248706568842
JAIS,statutul_refugiatilor,major,171,0.38762392635233917,0.6093203815800404
JAIS,statutul_refugiatilor,minor,70,0.3925258091517857,0.9168489967073713
JAIS,statutul_refugiatilor,,0,,0.8087030243873596
LLAMA_PRE,arabia_saudita_guvern_llm_error_analysis_output.json,critical,143,0.4714987161276224,0.21840767385242701
LLAMA_PRE,arabia_saudita_guvern_llm_error_analysis_output.json,major,231,0.3942226393398268,0.5620508428775903
LLAMA_PRE,arabia_saudita_guvern_llm_error_analysis_output.json,minor,109,0.37373898007454126,0.8273898395923299
LLAMA_PRE,arabia_saudita_guvern_llm_error_analysis_output.json,,0,,0.6175478063523769
LLAMA_PRE,conventia_geneva_llm_error_analysis_output.json,critical,217,0.464464600734447,0.24568055618193843
LLAMA_PRE,conventia_geneva_llm_error_analysis_output.json,major,342,0.4047373275310672,0.5968836584286383
LLAMA_PRE,conventia_geneva_llm_error_analysis_output.json,minor,164,0.3843651748285061,0.8787266350373989
LLAMA_PRE,conventia_geneva_llm_error_analysis_output.json,,0,,0.5936923836712289
LLAMA_PRE,drepturile_copiluluillm_error_analysis_output.json,critical,297,0.5799400252525253,0.11114552526762991
LLAMA_PRE,drepturile_copiluluillm_error_analysis_output.json,major,159,0.39679607655267296,0.6495746175448099
LLAMA_PRE,drepturile_copiluluillm_error_analysis_output.json,minor,106,0.3876239128832547,0.9026578557941148
LLAMA_PRE,drepturile_copiluluillm_error_analysis_output.json,,0,,0.9142247919852917
LLAMA_PRE,drepturile_economice_culturalellm_error_analysis_output.json,critical,108,0.5089495623553241,0.14628079616361195
LLAMA_PRE,drepturile_economice_culturalellm_error_analysis_output.json,major,77,0.4202389407467532,0.6465755166945519
LLAMA_PRE,drepturile_economice_culturalellm_error_analysis_output.json,minor,61,0.3921858990778688,0.9190763733426078
LLAMA_PRE,drepturile_economice_culturalellm_error_analysis_output.json,,0,,0.9408828828197259
LLAMA_PRE,drepturile_omului_llm_error_analysis_output.json,critical,61,0.5174220350922131,0.16841550733222335
LLAMA_PRE,drepturile_omului_llm_error_analysis_output.json,major,26,0.4098088191105769,0.6512087193819193
LLAMA_PRE,drepturile_omului_llm_error_analysis_output.json,minor,39,0.39547025240384615,0.9367691003359281
LLAMA_PRE,drepturile_omului_llm_error_analysis_output.json,,0,,0.970786722546274
LLAMA_PRE,flores+llm_error_analysis_output.json,critical,201,0.48842214707711445,0.274534582053844
LLAMA_PRE,flores+llm_error_analysis_output.json,major,1176,0.4190522278247236,0.6157057751096836
